timestamp,main_state
2534654,0
3035544,0
3537531,0
4042528,0
5567695,0
6076468,0
7093630,0
8107210,0
8614487,0
9124504,0
9635304,0
10532910,0
11035388,0
11541671,0
12554015,0
13062489,0
13567302,0
14068304,0
14571578,0
15575390,0
16589350,0
17091321,0
18613613,0
19116796,0
19625351,0
20137177,0
21149794,0
21650021,0
22654921,0
23160316,0
24171378,0
25189646,0
26088553,0
27100972,0
27611424,0
28617758,0
29127351,0
29629346,0
30134519,0
30644468,0
31154602,0
31658470,0
32673365,0
33183390,0
33693067,0
35274712,0
35777354,0
36281346,0
36786461,0
37295314,0
37797349,0
38806417,0
39308306,0
39819311,0
40322151,0
41342592,0
41852779,0
43870519,0
44381358,0
46905155,0
47412474,0
49949307,0
51960318,0
54994861,0
56520819,0
57030432,0
57536350,0
58041295,0
59062488,0
59568511,0
60078485,0
60587682,0
61088302,0
61594649,0
62096460,0
62606902,0
63117149,0
63618391,0
64627969,0
66156316,0
66665610,0
67176333,0
67682501,0
68190370,0
70208307,0
70710643,0
71221585,0
72229594,0
72739360,0
73249157,0
74263359,0
74771410,0
75295360,0
75804425,0
76307351,0
77320350,0
77824499,0
78841174,0
79341306,0
79852305,0
80357719,0
80857885,0
81359366,0
81869311,0
82372439,0
82873099,0
83883570,0
84385069,0
84885362,0
85389356,0
85900486,0
86911329,0
87419392,0
87929804,0
88429922,0
88929945,0
89432319,0
90447566,0
92473810,0
93294626,0
95311303,0
95821336,0
96822471,0
97327493,0
97835357,0
98335369,0
98843326,0
100866547,0
101372133,0
102376956,0
102877359,0
103387586,0
104389354,0
106406379,0
107420307,0
107922410,0
108426041,0
108932548,0
109440832,0
110442416,0
110951491,0
112973357,0
113483326,0
113985302,0
116002498,0
116504563,0
118008314,0
118518416,0
119018423,0
119529331,0
120535306,0
121037349,0
122045358,0
122555410,0
123058363,0
123565308,0
124067352,0
124567480,0
125070514,0
126090425,0
127098654,0
128112536,0
128613649,0
129122412,0
129622480,0
130132371,0
131649932,0
132669686,0
133172307,0
134184161,0
135695618,0
136202703,0
138232759,0
138733015,0
139233139,0
139740352,0
140250149,0
140759349,0
141764188,0
143282470,0
143792309,0
144293308,0
144797561,0
145816760,0
146324454,0
147340307,0
148353543,0
148855360,0
149366369,0
149868847,0
151892492,0
152395447,0
152906887,0
153411169,0
154929359,0
155944468,0
156454559,0
156957109,0
157965308,0
158970543,0
159980308,0
160481335,0
160990361,0
161501027,0
162002482,0
163513357,0
164017257,0
164522416,0
165032773,0
165533359,0
166544828,0
167054928,0
168063645,0
168573969,0
169074145,0
170597624,0
173125306,0
173626953,0
174127306,0
174634743,0
175138436,0
175639367,0
177150808,0
178165286,0
179177304,0
179681313,0
180186753,0
180698021,0
181199301,0
182217619,0
183224472,0
183733539,0
184746529,0
185250730,0
185760764,0
186775304,0
187276503,0
187781315,0
188791434,0
189292336,0
189793215,0
190805352,0
191315492,0
191820308,0
192330626,0
193835634,0
195350444,0
196362690,0
197884425,0
198393305,0
198899529,0
199410516,0
199910538,0
200413314,0
200923307,0
201424468,0
201931352,0
202439962,0
203440498,0
204955466,0
205463318,0
206483463,0
206989352,0
207495315,0
208504772,0
209006417,0
209506424,0
210517310,0
212531626,0
213033310,0
215063344,0
215570362,0
216080352,0
217082529,0
217589674,0
218604506,0
220120438,0
221135520,0
221637305,0
222137701,0
222637799,0
223658636,0
224158871,0
224667316,0
225169535,0
226176345,0
227697664,0
228199298,0
229708316,0
232241615,0
232438905,0
232939469,0
233448075,0
233951309,0
234451397,0
235461344,0
236464468,0
236967341,0
237982640,0
238997541,0
239506571,0
240013546,0
241529508,0
242035411,0
243559303,0
244062491,0
245578366,0
